Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,0.1663464119
0.19120095,0.01883554,0.11106072,1.821439334,,Average Fluoride,2.086533239
0.19120095,0.01883554,0.11026631,1.895020097,,,
0.19120095,0.01883554,0.11074803,1.850054412,,,
0.19120095,0.01883554,0.10887727,2.030891715,,,
0.19120095,0.01883554,0.10907631,2.010840014,,,
0.19120095,0.01897069,0.10945845,1.972895689,,,
0.19120095,0.01897069,0.10978618,1.940924824,,,
0.19120095,0.01897069,0.10996103,1.924080256,,,
0.19120095,0.01897069,0.11095361,1.831191064,,,
0.19120095,0.01897069,0.11055532,1.867913261,,,
0.19120095,0.01802351,0.11038814,1.88354578,,,
0.19120095,0.01802351,0.1106462,1.859469838,,,
0.19120095,0.01802351,0.11012456,1.908458547,,,
0.19120095,0.01802351,0.10965064,1.954083773,,,
0.19120095,0.01802351,0.10995091,1.925051191,,,
0.19120095,0.01724352,0.10965943,1.953227694,,,
0.19120095,0.01724352,0.1105707,1.866481655,,,
0.19120095,0.01724352,0.10994823,1.925308398,,,
0.19120095,0.01724352,0.10967119,1.952082946,,,
0.19120095,0.01724352,0.11063781,1.860247729,,,
0.19120095,0.01635837,0.10903307,2.0151792,,,
0.19120095,0.01635837,0.10906362,2.012112501,,,
0.19120095,0.01635837,0.11022882,1.898565063,,,
0.19120095,0.01635837,0.10970941,1.948367147,,,
0.19120095,0.01635837,0.11018959,1.90228166,,,
0.19120095,0.02033358,0.10942663,1.976027718,,,
0.19120095,0.02033358,0.1097032,1.94897041,,,
0.19120095,0.02033358,0.10929989,1.988552102,,,
0.19120095,0.02033358,0.10937546,1.981074789,,,
0.19120095,0.02033358,0.10951483,1.967358416,,,
0.19120095,0.01944321,0.11007605,1.913079336,,,
0.19120095,0.01944321,0.1105193,1.871270385,,,
0.19120095,0.01944321,0.1110553,1.821931543,,,
0.19120095,0.01944321,0.10935451,1.983144876,,,
0.19120095,0.01944321,0.1101088,1.90995853,,,
0.19120095,0.01873302,0.11007488,1.913190922,,,
0.19120095,0.01873302,0.10935514,1.983082594,,,
0.19120095,0.01873302,0.10984081,1.935646141,,,
0.19120095,0.01873302,0.10985067,1.934694938,,,
0.19120095,0.01873302,0.10967909,1.951314317,,,
0.19120095,0.01760422,0.10917985,2.000487584,,,
0.19120095,0.01760422,0.10982251,1.937412797,,,
0.19120095,0.01760422,0.11017174,1.903975152,,,
0.19120095,0.01760422,0.10905371,2.013106784,,,
0.19120095,0.01760422,0.11047621,1.875294371,,,
0.19120095,0.01841657,0.11048202,1.874751296,,,
0.19120095,0.01841657,0.1099788,1.922376547,,,
0.19120095,0.01841657,0.11060108,1.863657038,,,
0.19120095,0.01841657,0.10890429,2.028157979,,,
0.19120095,0.01841657,0.10955704,1.963223002,,,
0.19120095,0.0180671,0.10967059,1.952141335,,,
0.19120095,0.0180671,0.10869786,2.049137137,,,
0.19120095,0.0180671,0.10930277,1.988266622,,,
0.19120095,0.0180671,0.1097099,1.948319555,,,
0.19120095,0.0180671,0.10991046,1.928936948,,,
0.19120095,0.01794974,0.10989333,1.930584874,,,
0.19120095,0.01794974,0.10975558,1.94388787,,,
0.19120095,0.01794974,0.11048234,1.87472139,,,
0.19120095,0.01794974,0.10938061,1.980566244,,,
0.19120095,0.01794974,0.10984642,1.935104882,,,
0.19120095,0.01677929,0.10971438,1.947884477,,,
0.19120095,0.01677929,0.10980053,1.939536847,,,
0.19120095,0.01677929,0.10949745,1.969063706,,,
0.19120095,0.01677929,0.11002629,1.917830818,,,
0.19120095,0.01677929,0.10952275,1.966581811,,,
0.19120095,0.01770131,0.11039169,1.883212474,,,
0.19120095,0.01770131,0.10945318,1.97341407,,,
0.19120095,0.01770131,0.11040611,1.881859201,,,
0.19120095,0.01770131,0.10835503,2.08445897,,,
0.19120095,0.01770131,0.1095595,1.962982259,,,
0.19120095,0.01769987,0.10897379,2.021143242,,,
0.19120095,0.01769987,0.11008134,1.912574898,,,
0.19120095,0.01769987,0.10956328,1.962612393,,,
0.19120095,0.01769987,0.10855211,2.064080049,,,
0.19120095,0.01769987,0.1094719,1.971573305,,,
0.19120095,0.01936933,0.10884708,2.033950533,,,
0.19120095,0.01936933,0.10951608,1.967235825,,,
0.19120095,0.01936933,0.10989118,1.930791806,,,
0.19120095,0.01936933,0.10994074,1.926027416,,,
0.19120095,0.01936933,0.10927937,1.990587331,,,
0.19120095,0.01876482,0.1104862,1.874360679,,,
0.19120095,0.01876482,0.10988731,1.93116434,,,
0.19120095,0.01876482,0.10902503,2.015987055,,,
0.19120095,0.01876482,0.10972658,1.94670016,,,
0.19120095,0.01876482,0.10906892,2.011580946,,,
0.19120095,0.01791234,0.10973908,1.945487468,,,
0.19120095,0.01791234,0.10905991,2.012484672,,,
0.19120095,0.01791234,0.11015911,1.905174315,,,
0.19120095,0.01791234,0.10891052,2.027528183,,,
0.19120095,0.01791234,0.1098088,1.938737398,,,
0.19120095,0.01817219,0.10962898,1.956194894,,,
0.19120095,0.01817219,0.10982292,1.937373199,,,
0.19120095,0.01817219,0.10956793,1.962157495,,,
0.19120095,0.01817219,0.10879564,2.039172994,,,
0.19120095,0.01817219,0.10923948,1.994549693,,,
0.19120095,0.01844512,0.10898709,2.019803621,,,
0.19120095,0.01844512,0.10964481,1.954651777,,,
0.19120095,0.01844512,0.10972042,1.947298053,,,
0.19120095,0.01844512,0.10975642,1.943806471,,,
0.19120095,0.01844512,0.10995873,1.92430088,,,
0.19120095,0.01924297,0.10964718,1.954420853,,,
0.19120095,0.01924297,0.10879206,2.039536954,,,
0.19120095,0.01924297,0.10914572,2.003894164,,,
0.19120095,0.01924297,0.10952109,1.966744559,,,
0.19120095,0.01924297,0.10985009,1.934750878,,,
0.19120095,0.01874282,0.10960998,1.958048632,,,
0.19120095,0.01874282,0.10947353,1.971413106,,,
0.19120095,0.01874282,0.10945881,1.972860283,,,
0.19120095,0.01874282,0.10980671,1.938939404,,,
0.19120095,0.01874282,0.10985257,1.934511697,,,
0.19120095,0.01874282,0.10985645,1.934137554,,,
0.19120095,0.01788603,0.11062724,1.861228205,,,
0.19120095,0.01788603,0.10945541,1.9731947,,,
0.19120095,0.01788603,0.10950635,1.968190272,,,
0.19120095,0.01788603,0.10855941,2.063329036,,,
0.19120095,0.01788603,0.10970744,1.9485585,,,
0.19120095,0.01693339,0.10906677,2.01179656,,,
0.19120095,0.01693339,0.11008545,1.912183072,,,
0.19120095,0.01693339,0.10946407,1.972343031,,,
0.19120095,0.01693339,0.10889917,2.02867571,,,
0.19120095,0.01693339,0.11009604,1.911173848,,,
0.19120095,0.01700252,0.10980815,1.938800221,,,
0.19120095,0.01700252,0.10954268,1.964628909,,,
0.19120095,0.01700252,0.10858453,2.060746817,,,
0.19120095,0.01700252,0.10969809,1.949466955,,,
0.19120095,0.01700252,0.11078148,1.846971966,,,
0.19120095,0.01622831,0.10953537,1.965344977,,,
0.19120095,0.01622831,0.10952253,1.96660338,,,
0.19120095,0.01622831,0.10910689,2.007776915,,,
0.19120095,0.01622831,0.10939236,1.97940646,,,
0.19120095,0.01622831,0.11016443,1.904669113,,,
0.19120095,0.01872197,0.10976691,1.942790242,,,
0.19120095,0.01872197,0.10864697,2.054342265,,,
0.19120095,0.01872197,0.11022431,1.898991965,,,
0.19120095,0.01872197,0.10972607,1.946749654,,,
0.19120095,0.01872197,0.11009179,1.911578808,,,
0.19120095,0.01846745,0.1094636,1.972389244,,,
0.19120095,0.01846745,0.10806912,2.1143815,,,
0.19120095,0.01846745,0.10948665,1.970124125,,,
0.19120095,0.01846745,0.10858824,2.06036572,,,
0.19120095,0.01846745,0.10938548,1.980085468,,,
0.19120095,0.01830068,0.10868787,2.050157893,,,
0.19120095,0.01830068,0.10940867,1.977797708,,,
0.19120095,0.01830068,0.10921599,1.996886695,,,
0.19120095,0.01830068,0.10881731,2.036971309,,,
0.19120095,0.01830068,0.10948492,1.970294041,,,
0.19120095,0.01839929,0.11055787,1.867675825,,,
0.19120095,0.01839929,0.10873274,2.045577163,,,
0.19120095,0.01839929,0.10952589,1.966274,,,
0.19120095,0.01839929,0.10900539,2.017961836,,,
0.19120095,0.01839929,0.1093505,1.983541354,,,
0.19120095,0.01944447,0.11017424,1.903737878,,,
0.19120095,0.01944447,0.10805924,2.115423156,,,
0.19120095,0.01944447,0.10992038,1.927983276,,,
0.19120095,0.01944447,0.10977219,1.942278937,,,
0.19120095,0.01944447,0.10945675,1.973062894,,,
0.19120095,0.01858721,0.10920119,1.998360542,,,
0.19120095,0.01858721,0.10950319,1.968500346,,,
0.19120095,0.01858721,0.10993481,1.92659687,,,
0.19120095,0.01858721,0.10925685,1.992823324,,,
0.19120095,0.01858721,0.10909728,2.008739014,,,
0.19120095,0.01706397,0.10981597,1.938044551,,,
0.19120095,0.01706397,0.10941281,1.977389563,,,
0.19120095,0.01706397,0.10923942,1.994555659,,,
0.19120095,0.01706397,0.10916096,2.002372315,,,
0.19120095,0.01706397,0.10945381,1.973352093,,,
0.19120095,0.01695226,0.11044278,1.878422212,,,
0.19120095,0.01695226,0.10883939,2.034730411,,,
0.19120095,0.01695226,0.10894325,2.024222695,,,
0.19120095,0.01695226,0.10998911,1.921388762,,,
0.19120095,0.01695226,0.10927677,1.990845355,,,
0.19120095,0.01686139,0.10945721,1.973017649,,,
0.19120095,0.01686139,0.10874062,2.044773759,,,
0.19120095,0.01686139,0.10971209,1.948106859,,,
0.19120095,0.01686139,0.10913543,2.004922366,,,
0.19120095,0.01686139,0.10937143,1.981472829,,,
0.19120095,0.01600362,0.10943992,1.974718985,,,
0.19120095,0.01600362,0.10847757,2.071764273,,,
0.19120095,0.01600362,0.10958477,1.960510961,,,
0.19120095,0.01600362,0.10998565,1.921720203,,,
0.19120095,0.01600362,0.1087905,2.039695571,,,
0.19120095,0.01532498,0.10987194,1.932644594,,,
0.19120095,0.01532498,0.1088694,2.031688651,,,
0.19120095,0.01532498,0.10905574,2.012903072,,,
0.19120095,0.01532498,0.10963064,1.956033019,,,
0.19120095,0.01532498,0.10879347,2.039393599,,,
0.19120095,0.0159415,0.10998989,1.921314052,,,
0.19120095,0.0159415,0.10904684,2.013796349,,,
0.19120095,0.0159415,0.10914676,2.003790274,,,
0.19120095,0.0159415,0.10995378,1.924775787,,,
0.19120095,0.0159415,0.10916314,2.002154717,,,
0.19120095,0.01616298,0.10964321,1.954807691,,,
0.19120095,0.01616298,0.109987,1.921590877,,,
0.19120095,0.01616298,0.1091278,2.005685115,,,
0.19120095,0.01616298,0.11010722,1.910108975,,,
0.19120095,0.01616298,0.1099029,1.929664056,,,
0.19120095,0.01855099,0.108913,2.027277533,,,
0.19120095,0.01855099,0.10978863,1.940687782,,,
0.19120095,0.01855099,0.11062287,1.861633719,,,
0.19120095,0.01855099,0.10902835,2.015653424,,,
0.19120095,0.01855099,0.10927129,1.991389299,,,
0.19120095,0.02397883,0.10973748,1.94564265,,,
0.19120095,0.02397883,0.10816872,2.103909204,,,
0.19120095,0.02397883,0.11029971,1.891867447,,,
0.19120095,0.02397883,0.10928185,1.990341247,,,
0.19120095,0.02397883,0.10887138,2.031488122,,,
0.19120095,0.02150867,0.10889809,2.028784935,,,
0.19120095,0.02150867,0.10984139,1.935590175,,,
0.19120095,0.02150867,0.10882261,2.036433187,,,
0.19120095,0.02150867,0.10914215,2.004250828,,,
0.19120095,0.02150867,0.10856968,2.062272937,,,
0.19120095,0.01868383,0.10940313,1.978344004,,,
0.19120095,0.01868383,0.11031365,1.890553192,,,
0.19120095,0.01868383,0.10948482,1.970303864,,,
0.19120095,0.01868383,0.11007251,1.913416974,,,
0.19120095,0.01868383,0.10919208,1.999268295,,,
0.19120095,0.01664732,0.10950082,1.968732933,,,
0.19120095,0.01664732,0.10860212,2.05894057,,,
0.19120095,0.01664732,0.10973988,1.945409881,,,
0.19120095,0.01664732,0.1104386,1.878813676,,,
0.19120095,0.01664732,0.10896056,2.022476693,,,
0.19120095,0.01662252,0.10963445,1.955661538,,,
0.19120095,0.01662252,0.11046377,1.876457697,,,
0.19120095,0.01662252,0.10967125,1.952077107,,,
0.19120095,0.01662252,0.1091008,2.008386558,,,
0.19120095,0.01662252,0.10975919,1.943538073,,,
0.19120095,0.11738584,0.10959029,1.959971543,,,
0.19120095,0.11738584,0.1098229,1.937375131,,,
0.19120095,0.11738584,0.10982848,1.936836285,,,
0.19120095,0.11738584,0.10956117,1.962818844,,,
0.19120095,0.11738584,0.10885431,2.033217578,,,
0.19120095,0.0860637,0.11000893,1.919491264,,,
0.19120095,0.0860637,0.11032367,1.889609077,,,
0.19120095,0.0860637,0.10838255,2.081601242,,,
0.19120095,0.0860637,0.10872646,2.046217665,,,
0.19120095,0.0860637,0.10901938,2.016554959,,,
0.19120095,0.05834547,0.10889485,2.029112648,,,
0.19120095,0.05834547,0.11027049,1.894625256,,,
0.19120095,0.05834547,0.10951137,1.967697786,,,
0.19120095,0.05834547,0.10960977,1.95806913,,,
0.19120095,0.05834547,0.10905784,2.012692356,,,
0.19120095,0.04237586,0.10936056,1.982546849,,,
0.19120095,0.04237586,0.1102538,1.896202276,,,
0.19120095,0.04237586,0.10917092,2.001378345,,,
0.19120095,0.04237586,0.11012864,1.908070418,,,
0.19120095,0.04237586,0.10990616,1.929350481,,,
0.19120095,0.03170966,0.10980777,1.938836949,,,
0.19120095,0.03170966,0.10984987,1.934772097,,,
0.19120095,0.03170966,0.10881701,2.037001773,,,
0.19120095,0.03170966,0.10981629,1.938013635,,,
0.19120095,0.03170966,0.10995686,1.924480275,,,
0.19120095,0.02465432,0.10888585,2.030023238,,,
0.19120095,0.02465432,0.10919282,1.999194543,,,
0.19120095,0.02465432,0.10956758,1.962191731,,,
0.19120095,0.02465432,0.10935889,1.982711906,,,
0.19120095,0.02465432,0.10932832,1.985735775,,,
0.19120095,0.02127672,0.10977066,1.942427085,,,
0.19120095,0.02127672,0.10877571,2.041199996,,,
0.19120095,0.02127672,0.10913694,2.004771451,,,
0.19120095,0.02127672,0.10915427,2.003040228,,,
0.19120095,0.02127672,0.10929627,1.988910992,,,
0.19120095,0.02489812,0.10881132,2.037579659,,,
0.19120095,0.02489812,0.10953061,1.965811393,,,
0.19120095,0.02489812,0.10934563,1.984022969,,,
0.19120095,0.02489812,0.1097983,1.939752475,,,
0.19120095,0.02489812,0.10958698,1.960294981,,,
0.19120095,0.02089866,0.10943715,1.974991689,,,
0.19120095,0.02089866,0.10972121,1.947221365,,,
0.19120095,0.02089866,0.1097963,1.939945883,,,
0.19120095,0.02089866,0.10916471,2.001998021,,,
0.19120095,0.02089866,0.11040833,1.881650947,,,
0.19120095,0.01834799,0.1092509,1.993414514,,,
0.19120095,0.01834799,0.10993061,1.927000295,,,
0.19120095,0.01834799,0.10943481,1.97522209,,,
0.19120095,0.01834799,0.10802425,2.119116306,,,
0.19120095,0.01834799,0.11014035,1.906956889,,,
0.19120095,0.01815325,0.10938157,1.980471462,,,
0.19120095,0.01815325,0.10832711,2.087362244,,,
0.19120095,0.01815325,0.1106182,1.862067169,,,
0.19120095,0.01815325,0.10934275,1.984307839,,,
0.19120095,0.01815325,0.11043559,1.879095618,,,
0.19120095,0.02570791,0.10970341,1.948950007,,,
0.19120095,0.02570791,0.10934079,1.984501733,,,
0.19120095,0.02570791,0.11020144,1.901158241,,,
0.19120095,0.02570791,0.10986814,1.93301074,,,
0.19120095,0.02570791,0.10970734,1.948568214,,,
0.19120095,0.02207085,0.10969239,1.95002098,,,
0.19120095,0.02207085,0.10918061,2.000411793,,,
0.19120095,0.02207085,0.11005242,1.915334248,,,
0.19120095,0.02207085,0.10898439,2.020075502,,,
0.19120095,0.02207085,0.11021758,1.899629182,,,
0.19120095,0.03843026,0.10850262,2.069178718,,,
0.19120095,0.03843026,0.10989522,1.930402985,,,
0.19120095,0.03843026,0.10944854,1.973870593,,,
0.19120095,0.03843026,0.10934142,1.984439408,,,
0.19120095,0.03843026,0.10923366,1.995128465,,,
0.19120095,0.02871723,0.10936412,1.982195036,,,
0.19120095,0.02871723,0.10995624,1.924539758,,,
0.19120095,0.02871723,0.10890927,2.027654531,,,
0.19120095,0.02871723,0.10955336,1.963583195,,,
0.19120095,0.02871723,0.11001693,1.918725903,,,
0.19120095,0.02310603,0.10907675,2.010795907,,,
0.19120095,0.02310603,0.10868339,2.050615814,,,
0.19120095,0.02310603,0.10972187,1.947157299,,,
0.19120095,0.02310603,0.10867374,2.051602532,,,
0.19120095,0.02310603,0.11046784,1.876077012,,,
0.19120095,0.0190528,0.10840024,2.079766349,,,
0.19120095,0.0190528,0.11040842,1.881642505,,,
0.19120095,0.0190528,0.11013023,1.907919184,,,
0.19120095,0.0190528,0.10951831,1.967017143,,,
0.19120095,0.0190528,0.10928869,1.98966269,,,
0.19120095,0.01726792,0.10858867,2.060321554,,,
0.19120095,0.01726792,0.11015709,1.905366176,,,
0.19120095,0.01726792,0.10898244,2.020271884,,,
0.19120095,0.01726792,0.10932166,1.986395168,,,
0.19120095,0.01726792,0.11064724,1.859373435,,,
0.19120095,0.01642569,0.10867903,2.051061567,,,
0.19120095,0.01642569,0.10986198,1.933604428,,,
0.19120095,0.01642569,0.10989574,1.930352944,,,
0.19120095,0.01642569,0.11040843,1.881641567,,,
0.19120095,0.01642569,0.10947261,1.971503523,,,
0.19120095,0.01807793,0.10953946,1.964944299,,,
0.19120095,0.01807793,0.10868593,2.050356176,,,
0.19120095,0.01807793,0.11032469,1.889512996,,,
0.19120095,0.01807793,0.10931047,1.987503561,,,
0.19120095,0.01807793,0.10960185,1.958842373,,,
0.19120095,0.01626916,0.10981431,1.938204937,,,
0.19120095,0.01626916,0.10973049,1.946320749,,,
0.19120095,0.01626916,0.10963865,1.955252113,,,
0.19120095,0.01626916,0.11020777,1.900558408,,,
0.19120095,0.01626916,0.10924462,1.994038683,,,
0.19120095,0.01626916,0.10950477,1.968345303,,,
0.19120095,0.01583218,0.11061385,1.862471008,,,
0.19120095,0.01583218,0.10948128,1.970651601,,,
0.19120095,0.01583218,0.10903068,2.015419312,,,
0.19120095,0.01583218,0.10922298,1.996190979,,,
0.19120095,0.01583218,0.11001252,1.919147771,,,
0.19120095,0.01449603,0.11028004,1.893723477,,,
0.19120095,0.01449603,0.10981313,1.938318954,,,
0.19120095,0.01449603,0.10884423,2.03423953,,,
0.19120095,0.01449603,0.11040592,1.881877025,,,
0.19120095,0.01449603,0.10919107,1.99936896,,,
0.19120095,0.02502292,0.11000089,1.92026076,,,
0.19120095,0.02502292,0.10982012,1.937643644,,,
0.19120095,0.02502292,0.10951297,1.967540845,,,
0.19120095,0.02502292,0.10969902,1.949376576,,,
0.19120095,0.02502292,0.10932692,1.985874368,,,
0.19120095,0.01979815,0.11068251,1.856107051,,,
0.19120095,0.01979815,0.10919353,1.999123784,,,
0.19120095,0.01979815,0.10932838,1.985729835,,,
0.19120095,0.01979815,0.11009327,1.911437777,,,
0.19120095,0.01979815,0.10916327,2.002141742,,,
0.19120095,0.02207605,0.10995223,1.924924519,,,
0.19120095,0.02207605,0.10922794,1.995697457,,,
0.19120095,0.02207605,0.10864416,2.054630063,,,
0.19120095,0.02207605,0.10945839,1.97290159,,,
0.19120095,0.02207605,0.10994531,1.925588677,,,
0.19120095,0.02206345,0.1088049,2.038231881,,,
0.19120095,0.02206345,0.10902379,2.016111679,,,
0.19120095,0.02206345,0.10937033,1.981581489,,,
0.19120095,0.02206345,0.1088572,2.032924673,,,
0.19120095,0.02206345,0.11007555,1.913127022,,,
0.19120095,0.01874253,0.1088721,2.031415207,,,
0.19120095,0.01874253,0.10976519,1.942956832,,,
0.19120095,0.01874253,0.1087712,2.04165897,,,
0.19120095,0.01874253,0.1094056,1.97810042,,,
0.19120095,0.01874253,0.10957584,1.961383921,,,
0.19120095,0.01570437,0.10903917,2.014566491,,,
0.19120095,0.01570437,0.10995317,1.924834319,,,
0.19120095,0.01570437,0.10879416,2.03932345,,,
0.19120095,0.01570437,0.10887836,2.030781363,,,
0.19120095,0.01570437,0.10918885,1.999590243,,,
