Effluent Fluoride (mmol),W
0.014296726,4.182629328
0.011939973,4.200168538
0.014886776,6.287758239
0.015790799,8.358964511
0.019505311,5.245386718
0.020659629,8.381970239
0.023686199,12.53844677
0.027633899,10.47365161
0.029413001,16.72706477
0.041410196,20.88926721
0.095007976,17.86026334
0.163382137,31.84996804
0.338975825,91.36926896
0.252652788,42.48906585
0.159566027,37.84524131
0.119483715,18.63140209
0.042108798,9.683757772
0.029397205,8.110589425
0.019501637,4.871640815
0.034897666,11.38112472
0.252915968,42.48837291
0.088691656,27.70567848
0.168172012,23.35680356
0.042056162,9.683896361
0.029412995,8.110561707
0.019501637,4.871640815