Experiment Number,Influent PACl (mg/L),Influent PACl (atoms/L),Influent Fluoride (mg/L),Effluent Fluoride (mg/L),Influent Fluoride (atoms/L),Effluent Fluoride (atoms/L),Fluoride Removed (atoms/L),Atoms Fluoride/Molecules PACl
1,15,4.27567E+19,4.142154872,3.062946848,1.31306E+20,9.70954E+19,3.42109E+19,0.8001286157
15,15,4.27567E+19,3.614396205,2.257547708,1.14576E+20,7.15643E+19,4.30121E+19,1.005972237
16,10,2.85045E+19,3.241694576,2.567431125,1.02762E+20,8.13876E+19,2.13742E+19,0.7498519326
23,10,2.85045E+19,3.093298874,2.367799169,9.80576E+19,7.50592E+19,2.29983E+19,0.8068320403
26,40,1.14018E+20,3.300990498,0.967239563,1.04641E+20,3.06615E+19,7.39799E+19,0.6488441744
27,40,1.14018E+20,2.70858874,1.3,8.58623E+19,4.121E+19,4.46523E+19,0.3916247378
28,40,1.14018E+20,2.714598185,1.31,8.60528E+19,4.1527E+19,4.45258E+19,0.3905152585
29,40,1.14018E+20,4.02273693,1.31,1.27521E+20,4.1527E+19,8.59938E+19,0.7542122544
32,35,9.97657E+19,3.275250911,1.75,1.03825E+20,5.5475E+19,4.83505E+19,0.4846398759
50,40,1.14018E+20,3.659490296,1.32,1.16006E+20,4.1844E+19,7.41618E+19,0.6504398678
51,40,1.14018E+20,3.134882433,1.22,9.93758E+19,3.8674E+19,6.07018E+19,0.532387708
20,18.9,5.38735E+19,4.44646789,2.259716842,1.40953E+20,7.1633E+19,6.932E+19,1.286718174
25,18.9,5.38735E+19,5.257665471,2.38022523,1.66668E+20,7.54531E+19,9.12149E+19,1.69313039
31,18.9,5.38735E+19,5.257665471,2.38022523,1.66668E+20,7.54531E+19,9.12149E+19,1.69313039
37,18.9,5.38735E+19,4.72123987,2.046579833,1.49663E+20,6.48766E+19,8.47867E+19,1.573811378
42,18.9,5.38735E+19,10.59688642,4.862338041,3.35921E+20,1.54136E+20,1.81785E+20,3.374297055
47,18.9,5.38735E+19,9.476956047,5.364349031,3.0042E+20,1.7005E+20,1.3037E+20,2.419921644
48,18.9,5.38735E+19,9.80242129,5.386842476,3.10737E+20,1.70763E+20,1.39974E+20,2.598194941
49,18.9,5.38735E+19,16.66430097,10.21081892,5.28258E+20,3.23683E+20,2.04575E+20,3.797328758